,"([14, [False, True, True, False, True, False], 8, 4, 79, 'Communication'], [0.40218106180709956, 0.19108385853440932, 0.11857953858566593, 0.20106289006644876, 0.02568880196138132, 0.061403849044995185])","([14, [True, False, True, False, True, False], 7, 5, 100, 'STEM'], [0.301285223008605, 0.13216661678956582, 0.09881689081057349, 0.20097330207437347, 0.1411382041237262, 0.12561976319315607])","([17, [True, False, False, True, True, False], 7, 2, 91, 'Fashion'], [0.2155986709974427, 0.163819826797813, 0.1622896087884433, 0.15414254877392122, 0.22490495670784347, 0.0792443879345363])","([24, [True, True, False, False, True, False], 6, 2, 0, 'Finance'], [0.18709518759980073, 0.13866772567134375, 0.1352978894863004, 0.19658739453712074, 0.21999918682884068, 0.12235261587659373])","([18, [True, False, False, True, True, False], 1, 2, 65, 'Education'], [0.26643865156992075, 0.07995603313049815, 0.2123050305557533, 0.13838053807587378, 0.2050223292768766, 0.09789741739107745])","([18, [False, False, True, True, True, False], 1, 5, 8, 'STEM'], [0.16854548415376167, 0.14022249573973652, 0.32405887462221233, 0.13754056750740662, 0.1762057408925498, 0.053426837084333066])","([12, [True, False, False, False, True, True], 3, 1, 31, 'Finance'], [0.2192084786936186, 0.12335430378264878, 0.0535692522509579, 0.056045793651109226, 0.3858518472112322, 0.16197032441043333])","([10, [False, False, True, False, True, True], 8, 2, 21, 'STEM'], [0.1058113756933569, 0.16015717867516258, 0.3331302718708457, 0.04078034236007203, 0.25592947977242325, 0.10419135162813942])","([14, [False, True, False, True, True, False], 8, 2, 96, 'Fashion'], [0.17280821451405193, 0.17045886679244168, 0.19295774032722468, 0.27012644859043244, 0.09820256799001748, 0.09544616178583183])","([12, [False, False, True, True, True, False], 4, 4, 91, 'Education'], [0.1665635962983683, 0.2605884251504636, 0.06792720345236986, 0.14605883620247684, 0.18016630097307892, 0.1786956379232425])"
Camp Counselor 20,-0.20388197380352377,-0.3199336592271472,-0.45718434333749,-15.082871299655777,0.3085925422573866,0.2551032879148548,-0.7902768430613378,-0.8358023731132866,-0.5619237529499673,-0.01640612370320476
Direct support professional internship 21,-0.2441444923164447,-0.35258749578783566,-0.46684617442785564,-9.06732744185425,0.38679939055620144,0.17971545727957292,-0.3680384008729305,-0.4726902160031859,-0.583524998786097,-0.30067472532540596
Valet Parking Attendant 22,-0.3966848484806206,-0.3946034127302853,-0.38389704665803165,-9.97721337120773,0.38308501655923466,-0.8371564418793037,-0.30081880073953315,-0.6228349969617606,-0.43286159309893374,-0.5544053866789943
Teacher's Assistant 23,-0.3595701450351602,-0.4371656468646169,-0.35019960036018394,-10.538179213294036,1.0837424952831092,2.0237555402030036,-0.39535791367286754,-0.3983950551292019,-0.40749320943249207,-0.16196196747426606
"Kumon Instructor Assistant, Teacher, Tutor 24",-0.3063723757540634,-0.39715911334504606,-0.42451128188438314,-10.581927127607162,0.7217263403841992,0.15238616259302037,-0.41471468596003336,-0.5861095372729113,-0.4112637919431012,-0.1731503187646971
Bakery Team Member 25,-0.24110261331157798,-0.2759411680936298,-0.1633351728620861,-14.710682463529324,1.1136819212968057,0.9630260658500419,-0.5154394367190516,-0.6900276724102398,-0.2168902387393407,-0.32400811500158655
House Cleaner / Trainer 26,-0.46439869526379973,-0.4420230514093918,-0.40286586120348894,-16.05164262876259,0.439853146520833,-0.42388861840866665,-0.6043325774057432,-0.9244276189218916,-0.5069253973831359,-0.5504975176166891
Resturant Team Member 27,-0.39669320191874374,-0.3043375633433145,-0.27147540119372765,-13.42913641331918,0.9604414149114789,-0.8047403463295578,-0.5150761600506325,-0.8853420265180006,-0.35562711251435375,-0.5275754503029266
Seasonal Bell Ringer 28,-0.37204433740116954,-0.37121956761907365,-0.31938850259858315,-11.053758908365433,0.7142434597673954,-0.014334901109509655,-0.3220446457220803,-0.5755747768844324,-0.38136012546025355,-0.5021198183115505
Wait Staff 29,-0.2615224704096558,-0.20870336631137992,-0.24252614698895208,-13.430461836132073,0.6147874747366139,-1.3190468999106233,-0.4444598396534719,-0.9005916011877669,-0.3309781301140289,-0.47995879686111437
THEO PEER 30,-0.2815661990210068,-0.24947068333414743,-0.29313036601814424,-10.49846911001372,1.1603674912909454,2.246569193363511,-0.3363138335385467,-0.2264427058657384,-0.36543340287184456,-0.29491076076726896
Party Hostess/Assistant 31,-0.4482873196626456,-0.5238051391793652,-0.4235901891450283,-11.215132465874762,0.35321436080949214,0.3661610577986366,-0.5783958199851498,-0.6619525537822908,-0.37144426297695343,-0.3512167491852555
Birthday Party Host 32,-0.3727280765774489,-0.4377631736475166,-0.3419595735377686,-11.121929674354133,0.5080107309494052,-0.8346781618735918,-0.4850784444590155,-0.7324564505020045,-0.2698352196200752,-0.32712999593677444
Taco Bell Team Member 33,-0.38794889481555467,-0.3426777334807478,-0.2886152770004222,-13.478386283688218,0.44843436442532275,-0.46672655660087303,-0.5304892084572284,-0.8906089960448247,-0.366659644035508,-0.5439765670577306
Retail Team Member 34,-0.37023398685952835,-0.45144359619915175,-0.3340218904002156,-11.31689806112816,0.38949733997768765,0.31370297689001936,-0.3817114538239387,-0.48363412544301815,-0.3561680434988237,-0.42355163341356183
Dunkin Crew Member 35,-0.41275771061331906,-0.31997714087844453,-0.20043174043074752,-13.388637180352422,0.9064895446837123,0.000717568079180754,-0.47325939063578837,-0.7596471579155983,-0.3815768853439719,-0.4952478555411155
Seasonal Picker 36,-0.35439165001678147,-0.2774876865807603,-0.21071613556398622,-16.73860995004276,0.7067813569453363,-0.6485037006983285,-0.67497019103822,-1.0212047752834859,-0.32918894634921764,-0.4762978267161355
Dishwasher and Cleaner 37,-0.48841922530519455,-0.4710876760873731,-0.4343041337568272,-16.299024072876055,0.2836579273010073,-0.6482658358287926,-0.6516580143203271,-0.9834543285831712,-0.518768491740487,-0.5783382182571333
Cashier/Sales Associate/Stocker 38,-0.3969223158551874,-0.451510161505823,-0.3711519640253483,-11.92371168282983,0.638819311027571,-0.5566965695177103,-0.4602703631113372,-0.6279918337502197,-0.35993795480701035,-0.4407132740862804
Production Worker 39,-0.4504926804765368,-0.4087247259920723,-0.3245337452670407,-17.046445838561265,0.6548510265263249,-0.6708740787967625,-0.7412359027482485,-0.9775760163367007,-0.3723072650290488,-0.5138532345796808
Customer Service Representative - Ceramic Painting Studio 40,-0.28482883223483096,-0.33165611646443316,-0.5329666750140627,-10.165574341269803,-0.1938938344073053,-1.194200820097366,-0.47414450746969705,-0.7433100815060316,-0.5960972279195209,-0.43360633197764487
